,marca_caida,SEGMENTO,SEXO,ACTIVO,PASIVO,VOLUMEN DE NEGOCIO,RANGO_VOL,EDAD,RANGO_EDAD,CROSS_SELL O CANTIDAD DE PRODUCTOS,INGRESO_FINAL,BURO_DIC_20,BURO_ENE_21,BURO_FEB_21,MARCA TENENCIA,COLECTIVO_PRIMARIO,ACTIVO_NET,ACTIVO_MOVIL,MAR_INVERSIÓN_ACUM,MAR_RECURSOS_ACUM,RENTABILIDAD CLIENTE,activo_net,activo_movil,BAJO_BURO
12256,1,87000,F,,41482.0,41482,Menor a 1M,40.0,> 35 y <= 40 Anios,1.0,72511803708.0,853,853.0,739,,INDEPENDIENTES,,,0.0,1662.67,1662.67,0,0,1
12257,1,84000,F,1666981.42,681425.59,2347056,Entre 1M y 5M,57.0,> 55 y <= 64 Anios,3.0,1852822.0,788,624.0,697,NOMINA,PENSIONADOS,,X,122127.67,43622.07,197284.24,0,1,1
12258,1,87000,F,,8336.0,8336,Menor a 1M,62.0,> 55 y <= 64 Anios,1.0,,782,782.0,649,,INDEPENDIENTES,,,0.0,334.12,334.12,0,0,1
12259,1,85100,M,,0.0,0,Menor a 1M,75.0,> 64 y <= 75 Anios,1.0,1314.0,865,865.0,758,,INDEPENDIENTES,,X,,,,0,1,1
12260,1,85100,F,,2906.0,2906,Menor a 1M,54.0,> 50 y <= 55 Anios,1.0,15828651265.0,788,788.0,686,,,,,0.0,116.48,116.48,0,0,1
12261,1,87000,M,,10268.0,10268,Menor a 1M,51.0,> 50 y <= 55 Anios,1.0,12268476431.0,750,750.0,643,,INDEPENDIENTES,,,0.0,411.57,411.57,0,0,1
12262,1,87000,M,,7906.0,7906,Menor a 1M,45.0,> 40 y <= 45 Anios,1.0,11864241655.0,844,844.0,726,,OTROS,,,0.0,316.9,316.9,0,0,1
12263,1,84000,M,,160176.25,160176,Menor a 1M,63.0,> 55 y <= 64 Anios,1.0,445747.0,880,743.0,705,PENSION,PENSIONADOS,,X,0.0,20386.35,-25403.15,0,1,1
12264,1,85100,M,,0.0,0,Menor a 1M,55.0,> 50 y <= 55 Anios,1.0,,651,651.0,549,,,,,,,,0,0,1
12265,1,84000,M,19639678.71,456287.85,20094615,Entre 20M y 50M,72.0,> 64 y <= 75 Anios,3.0,1840503.0,803,639.0,669,PENSION,PENSIONADOS,,X,2527927.34,16866.59,25859277645.0,0,1,1
12266,1,84000,M,8741561.05,0.0,8741561,Entre 5M y 10M,50.0,> 45 y <= 50 Anios,2.0,11380953602.0,859,797.0,735,,INDEPENDIENTES,,,981836.27,1482.81,998789.08,0,0,1
12267,1,87000,M,,31669.96,31669,Menor a 1M,53.0,> 50 y <= 55 Anios,1.0,1334640.0,855,857.0,637,,OTROS,,,0.0,1269.42,1269.42,0,0,1
12268,1,83000,M,68904385.0,18162394.6,87066779,Entre 50M y 100M,51.0,> 50 y <= 55 Anios,3.0,9531867.0,835,805.0,512,NOMINA,OTROS,,X,764041.27,574856.45,14484253855.0,0,1,1
12269,1,87000,M,,5930.0,5930,Menor a 1M,55.0,> 50 y <= 55 Anios,1.0,1042886454.0,795,795.0,658,,OTROS,,,0.0,237.7,237.7,0,0,1
12270,1,85100,F,,54798.29,54798,Menor a 1M,76.0,Mayor a 75 Anios,1.0,439832.0,761,761.0,660,PENSION,PENSIONADOS,,X,0.0,2517.91,-56202.09,0,1,1
12271,1,83000,M,120069794.39,1154080.36,121218859,Entre 100M y 300M,40.0,> 35 y <= 40 Anios,3.0,6501316.0,889,889.0,797,,OTROS,,,4460955.95,0.0,4939691.36,0,0,1
12272,1,85100,F,,70769.89,70769,Menor a 1M,72.0,> 64 y <= 75 Anios,1.0,661530.0,605,605.0,542,PENSION,PENSIONADOS,,,0.0,3355.75,-165970845.0,0,0,1
12273,1,85100,M,,0.0,0,Menor a 1M,44.0,> 40 y <= 45 Anios,1.0,36476245482.0,771,771.0,673,,,,,,,,0,0,1
12274,1,85100,F,,0.0,0,Menor a 1M,48.0,> 45 y <= 50 Anios,1.0,1927691409.0,885,793.0,793,,,,,,,,0,0,1
12275,1,85100,M,,0.0,0,Menor a 1M,36.0,> 35 y <= 40 Anios,1.0,,605,512.0,512,,,,,,,,0,0,1
12276,1,84000,F,26361129.73,0.0,26361129,Entre 20M y 50M,67.0,> 64 y <= 75 Anios,2.0,1197813.0,818,758.0,626,,PENSIONADOS,,,3151278.03,0.0,3022271.01,0,0,1
12277,1,85100,F,,0.0,0,Menor a 1M,52.0,> 50 y <= 55 Anios,1.0,11355420215.0,806,718.0,718,,OTROS,,,0.0,131828.81,210367.81,0,0,1
12278,1,85100,F,,0.0,0,Menor a 1M,44.0,> 40 y <= 45 Anios,1.0,11249667953.0,641,512.0,512,,OTROS,,,,,,0,0,1
12279,1,87000,M,,4221.31,4221,Menor a 1M,57.0,> 55 y <= 64 Anios,1.0,3362861.0,620,532.0,509,,INDEPENDIENTES,,,0.0,169.18,169.18,0,0,1
12280,1,85100,F,,0.0,0,Menor a 1M,69.0,> 64 y <= 75 Anios,1.0,1080315046.0,782,782.0,692,,,,,,,,0,0,1
12281,1,84000,F,,93747.21,93747,Menor a 1M,65.0,> 64 y <= 75 Anios,1.0,817626.0,853,801.0,752,PENSION,PENSIONADOS,,,0.0,10125.15,-55052.35,0,0,1
12282,1,84000,M,,8991980.89,8991980,Entre 5M y 10M,69.0,> 64 y <= 75 Anios,1.0,1613422.0,790,801.0,532,PENSION,PENSIONADOS,,,0.0,164393.43,1391270955.0,0,0,1
12283,1,83000,M,954531.96,23389964.08,24344495,Entre 20M y 50M,53.0,> 50 y <= 55 Anios,2.0,13374903.0,812,806.0,575,NOMINA,EMPLEADOS PUBLICOS,,X,-15071.22,101913.85,-3029.87,0,1,1
12284,1,87000,F,,78103.63,78103,Menor a 1M,62.0,> 55 y <= 64 Anios,1.0,2171929.0,827,726.0,726,,OTROS,,,0.0,4037.52,50447.52,0,0,1
12285,1,87000,M,,2467.0,2467,Menor a 1M,51.0,> 50 y <= 55 Anios,1.0,,838,831.0,744,,OTROS,,,0.0,98.89,98.89,0,0,1
12286,1,84000,M,12863629.53,,12863629,Entre 10M y 20M,62.0,> 55 y <= 64 Anios,1.0,2180000.0,821,788.0,611,,INDEPENDIENTES,,,951430.13,0.0,951430.13,0,0,1
12287,1,85100,M,,0.0,0,Menor a 1M,67.0,> 64 y <= 75 Anios,1.0,12845063402.0,818,709.0,709,,OTROS,,,,,,0,0,1
12288,1,84000,F,2776611.71,59826.6,2836437,Entre 1M y 5M,45.0,> 40 y <= 45 Anios,2.0,1684061.0,784,759.0,703,NOMINA,OTROS,,X,0.0,4565.83,-74058.17,0,1,1
12289,1,84000,M,,52000.59,52000,Menor a 1M,48.0,> 45 y <= 50 Anios,1.0,1383700.0,833,769.0,615,NOMINA,OTROS,,X,0.0,2700.83,-62147.67,0,1,1
12290,1,84000,M,5949970.58,3929.39,5941942,Entre 5M y 10M,49.0,> 45 y <= 50 Anios,2.0,3941101.0,801,763.0,637,,OTROS,X,X,1141834.86,2300.04,1348983.03,1,1,1
12291,1,84000,F,,11081875.16,11081875,Entre 10M y 20M,48.0,> 45 y <= 50 Anios,1.0,1830.0,773,737.0,688,,INDEPENDIENTES,,,0.0,61492.75,61492.75,0,0,1
12292,1,85100,M,,0.0,0,Menor a 1M,61.0,> 55 y <= 64 Anios,1.0,1099.0,709,709.0,557,,PENSIONADOS,,X,0.0,1614.63,46784.13,0,1,1
12293,1,84000,M,,25626.79,25626,Menor a 1M,42.0,> 40 y <= 45 Anios,1.0,1298221.0,814,656.0,656,NOMINA,OTROS,,,0.0,4315.15,-34245.35,0,0,1
12294,1,82000,F,,202288822.71,202288822,Entre 100M y 300M,60.0,> 55 y <= 64 Anios,2.0,2051.0,821,788.0,713,,INDEPENDIENTES,,X,0.0,1099255.9,1174654778.0,0,1,1
12295,1,84000,F,17413678.72,105629.8,17519307,Entre 10M y 20M,75.0,> 64 y <= 75 Anios,2.0,674604.0,899,853.0,778,PENSION,PENSIONADOS,,X,952219.43,62000.84,1052557471.0,0,1,1
12296,1,84000,,1437289.0,499015.07,1935725,Entre 1M y 5M,81.0,Mayor a 75 Anios,2.0,1538384.0,713,587.0,519,PENSION,PENSIONADOS,,,45360.18,10603.74,840077545.0,0,0,1
12297,1,84000,F,,141991.5,141991,Menor a 1M,63.0,> 55 y <= 64 Anios,1.0,983870.0,883,883.0,682,PENSION,PENSIONADOS,,X,0.0,2742.26,-392045745.0,0,1,1
12298,1,85100,F,,0.0,0,Menor a 1M,67.0,> 64 y <= 75 Anios,1.0,,816,517.0,675,,,,,,,,0,0,1
12299,1,85100,,,5408.11,5408,Menor a 1M,59.0,> 55 y <= 64 Anios,1.0,,664,587.0,587,,OTROS,,,0.0,32.72,532.72,0,0,1
